Sample Rate,LSD (mean),LSD (std),Base LSD (mean),Base LSD (std),LSD HF (mean),LSD HF (std),Base LSD HF (mean),Base LSD HF (std),LSD LF (mean),LSD LF (std),Base LSD LF (mean),Base LSD LF (std),RTF (mean),RTF (std),RTF Reciprocal (mean),RTF Reciprocal (std)
4000,1.0699121952056885,nan,3.3691437244415283,nan,1.224603295326233,nan,3.8670191764831543,nan,0.25915786623954773,nan,0.7000352144241333,nan,0.01942904107272625,nan,51.46934509277344,nan
8000,0.9473415613174438,nan,2.3706002235412598,nan,1.2911382913589478,nan,3.276522159576416,nan,0.34496763348579407,nan,0.6814612746238708,nan,0.019130324944853783,nan,52.27302551269531,nan
12000,0.5055253505706787,nan,1.425244688987732,nan,0.9137932658195496,nan,2.646345853805542,nan,0.24104203283786774,nan,0.5974413156509399,nan,0.020964913070201874,nan,47.6987419128418,nan
2000,1.0017564296722412,nan,3.9039013385772705,nan,1.0665268898010254,nan,4.1661481857299805,nan,0.21305204927921295,nan,0.604835033416748,nan,0.024129295721650124,nan,41.443397521972656,nan
8000,0.9473415613174438,nan,2.3706002235412598,nan,1.2911382913589478,nan,3.276522159576416,nan,0.3449676036834717,nan,0.6814612746238708,nan,0.021210040897130966,nan,47.14748001098633,nan
